Date,Adj Close,Close,High,Low,Open,Volume
2025-10-09,4363.9833984375,4440.0,4520.0,4380.0,4480.0,8090000
2025-10-10,4462.27099609375,4540.0,4550.0,4370.0,4440.0,11861000
2025-10-13,4462.27099609375,4540.0,4560.0,4420.0,4480.0,7230300
2025-10-14,4196.8935546875,4270.0,4680.0,4250.0,4560.0,19464400
2025-10-15,4383.640625,4460.0,4470.0,4210.0,4280.0,15164400
2025-10-16,4354.154296875,4430.0,4480.0,4350.0,4470.0,5417600
2025-10-17,4147.75,4220.0,4440.0,4160.0,4440.0,9791900
2025-10-20,4196.8935546875,4270.0,4340.0,4230.0,4250.0,4652900
2025-10-21,4246.03759765625,4320.0,4420.0,4270.0,4340.0,4880100
2025-10-22,4128.09228515625,4200.0,4320.0,4200.0,4320.0,5547500
2025-10-23,4147.75,4220.0,4250.0,4120.0,4170.0,6574400
2025-10-24,4137.9208984375,4210.0,4300.0,4210.0,4240.0,5760500
2025-10-27,4206.72265625,4280.0,4330.0,4200.0,4270.0,6327600
2025-10-28,4344.32568359375,4420.0,4530.0,4280.0,4320.0,12956200
2025-10-29,4462.27099609375,4540.0,4540.0,4430.0,4450.0,9784400
2025-10-30,4619.53173828125,4700.0,4780.0,4510.0,4570.0,23718900
2025-10-31,4668.67578125,4750.0,4750.0,4560.0,4700.0,16646700
2025-11-03,4472.10009765625,4550.0,4800.0,4530.0,4800.0,10495300
2025-11-04,4521.24365234375,4600.0,4620.0,4520.0,4560.0,5774000
2025-11-05,4580.216796875,4660.0,4690.0,4460.0,4530.0,9263100
2025-11-06,4472.10009765625,4550.0,4670.0,4540.0,4660.0,4706100
2025-11-07,4432.78466796875,4510.0,4580.0,4440.0,4550.0,4862100
2025-11-10,4422.9560546875,4500.0,4540.0,4460.0,4520.0,5606300
2025-11-11,4324.66796875,4400.0,4550.0,4360.0,4520.0,7423100
2025-11-12,4226.38037109375,4300.0,4430.0,4300.0,4420.0,15114200
2025-11-13,4236.208984375,4310.0,4380.0,4280.0,4300.0,13220000
2025-11-14,4167.4072265625,4240.0,4320.0,4220.0,4310.0,9368100
2025-11-17,4029.80419921875,4100.0,4270.0,4090.0,4240.0,15955800
2025-11-18,3823.399658203125,3890.0,4080.0,3860.0,4080.0,27446000
2025-11-19,3823.399658203125,3890.0,3950.0,3880.0,3890.0,10060500
2025-11-20,3744.769287109375,3810.0,3960.0,3780.0,3910.0,19746500
2025-11-21,3872.543701171875,3940.0,3940.0,3770.0,3810.0,18719900
2025-11-24,3793.913330078125,3860.0,3940.0,3860.0,3940.0,10623200
2025-11-25,3764.427001953125,3830.0,3920.0,3810.0,3890.0,11931100
2025-11-26,3764.427001953125,3830.0,3910.0,3800.0,3860.0,11590100
2025-11-27,3882.37255859375,3950.0,4020.0,3850.0,3850.0,17961600
2025-11-28,3754.59814453125,3820.0,4050.0,3820.0,4000.0,23908500
2025-12-01,3754.59814453125,3820.0,3880.0,3770.0,3800.0,16693700
2025-12-02,3892.201171875,3960.0,3980.0,3840.0,3840.0,14335100
2025-12-03,3852.885986328125,3920.0,3960.0,3880.0,3960.0,4434700
2025-12-04,3813.57080078125,3880.0,3930.0,3860.0,3920.0,2886300
2025-12-05,3823.399658203125,3890.0,3910.0,3850.0,3870.0,5319800
2025-12-08,3921.6875,3990.0,4000.0,3880.0,3890.0,9111800
2025-12-09,3784.08447265625,3850.0,4040.0,3850.0,4010.0,11124600
2025-12-10,3833.228515625,3900.0,3900.0,3850.0,3850.0,8172500
2025-12-11,3793.913330078125,3860.0,3920.0,3800.0,3900.0,9400100
2025-12-12,3774.255859375,3840.0,3870.0,3800.0,3860.0,8607700
2025-12-15,3823.399658203125,3890.0,3940.0,3830.0,3850.0,12907000
2025-12-16,3774.255859375,3840.0,3900.0,3830.0,3880.0,7996200
2025-12-17,3852.885986328125,3920.0,3960.0,3860.0,3860.0,8504400
2025-12-18,4285.35302734375,4360.0,4370.0,3940.0,3960.0,45629300
2025-12-19,4039.633056640625,4110.0,4400.0,4080.0,4360.0,38384500
2025-12-22,4363.9833984375,4440.0,4450.0,4110.0,4110.0,35042300
2025-12-23,4904.56689453125,4990.0,5175.0,4310.0,4440.0,104999700
2025-12-24,4963.53955078125,5050.0,5325.0,4990.0,5125.0,62454400
2025-12-29,4988.111328125,5075.0,5250.0,4960.0,5075.0,23931300
2025-12-30,5086.3994140625,5175.0,5275.0,4960.0,5075.0,23703900
